issue_key,status,resolution,custom_field_hub,conversation_start,conversation_end,duration_minutes,first_agent_response_minutes,avg_agent_response_minutes,avg_customer_response_minutes,messages_total,messages_agent,messages_customer,turns,agent_authors,customer_authors,initial_response_sla_5m,initial_response_sla_15m,agent_profanity_detected,agent_profanity_count,customer_abuse_detected,customer_abuse_count,llm_summary_250,conversation_rating,extract_customer_problem,contact_reason,contact_reason_original,agent_score,customer_score,resolved,improvement_tip,llm_model,llm_input_tokens,llm_output_tokens,llm_cost_usd
CC-39352,Done,Done,NCP Finsbury,2025-10-23T13:40:00+00:00,2025-10-23T14:07:00+00:00,27.00,1.00,3.88,0.25,298,8,5,9,712020:4a1cd5f8-3026-4f9f-9e90-f389b942d0d6,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:9b19e54a-ced3-4d9f-aa11-a2b8a38e7ec8,true,true,false,0,false,0,,,,,Info about monthly subscription,,,,,gpt-4o-mini,,,
CC-39351,Done,Done,Port Randolph Street,2025-10-23T13:39:00+00:00,2025-10-23T14:07:00+00:00,28.00,13.00,20.50,0.00,290,4,1,2,712020:4a1cd5f8-3026-4f9f-9e90-f389b942d0d6,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:85cac8d9-b7a2-44dd-8399-69dad0c05e51,false,true,false,0,false,0,,,,,Issue unknown,,,,,gpt-4o-mini,,,
CC-39350,Done,Done,Q-Park Pimlico,2025-10-23T13:15:00+00:00,2025-10-23T14:07:00+00:00,52.00,12.00,16.25,0.25,295,6,4,4,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:e7baf355-3659-4015-aaa4-a628511dafc1,false,true,false,0,false,0,,,,,Info/question about my current ride,,,,,gpt-4o-mini,,,
CC-39349,Done,Done,NCP Finsbury,2025-10-23T12:57:00+00:00,2025-10-23T13:39:00+00:00,42.00,1.00,4.40,2.00,310,13,12,10,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:27002430-1c20-419f-a596-fd86d292a76e,true,true,false,0,false,0,,,,,E-bike damage issue,,,,,gpt-4o-mini,,,
CC-39348,Done,Done,,2025-10-23T12:56:00+00:00,2025-10-23T13:30:00+00:00,34.00,1.00,2.33,0.88,316,13,17,18,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:fe9ce3d8-bab4-4608-a2ec-d8dd573ba7ec,true,true,false,0,false,0,,,,,Request to cancel weekly subscription,,,,,gpt-4o-mini,,,
CC-39347,Done,Done,Port Randolph Street,2025-10-23T12:51:00+00:00,2025-10-23T12:59:00+00:00,8.00,1.00,1.00,1.50,297,6,6,6,712020:8f5c3870-9bb6-4299-922f-e6f38426666b,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:e00ecf13-d811-4cac-bf92-b75c46541333,true,true,false,0,false,0,,,,,Other,,,,,gpt-4o-mini,,,
CC-39346,Done,Done,Saba Stratford,2025-10-23T12:46:00+00:00,2025-10-23T13:12:00+00:00,26.00,1.00,6.00,0.33,295,7,3,6,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:19484cfb-68d1-409a-9dd1-fc66701205a8,true,true,false,0,false,0,,,,,Hub access or navigation issue,,,,,gpt-4o-mini,,,
CC-39345,Done,Done,NCP Vintry,2025-10-23T12:46:00+00:00,2025-10-23T13:32:00+00:00,46.00,1.00,16.83,0.57,299,7,7,6,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:050e496c-ca59-4272-b359-7829d6f319f0,true,true,false,0,false,0,,,,,Info/question about my current ride,,,,,gpt-4o-mini,,,
CC-39344,Done,Done,NCP Clerkenwell,2025-10-23T12:45:00+00:00,2025-10-23T13:21:00+00:00,36.00,1.00,4.38,0.50,309,13,11,15,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:15754ee4-773f-456c-b3f3-6dda0b6c0c27,true,true,false,0,false,0,,,,,E-bike damage issue,,,,,gpt-4o-mini,,,
CC-39343,Done,Done,NCP Vintry,2025-10-23T11:58:00+00:00,2025-10-23T13:00:00+00:00,62.00,1.00,5.54,0.64,310,14,11,16,712020:3e48ed1c-5151-4a26-8782-c21abcf59de5,qm:bd5a4d40-24e3-41ea-97b7-f62e0a9396fd:a18e1b8f-4466-438e-b557-f7a601c514f3,true,true,false,0,false,0,,,,,E-bike damage issue,,,,,gpt-4o-mini,,,
